batch_position,place_id,name_hu,place_type,identification_status,passage_count,biblical_book_count,route_count,research_priority,total_score,required_sections,required_source_types,ready_for_research,blocking_issues
11,samaria_1,Samária,settlement,certain,113,12,0,0,630,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
12,negeb,Negev,region,certain,43,13,2,0,416,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
13,chaldea,Káldea,region,certain,86,11,0,0,510,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
14,lebanon,Libanon,region,certain,57,16,0,0,454,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
15,gilgal_1,Gilgál,settlement,probable,33,7,3,0,326,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
16,sodom,Sodoma,settlement,probable,50,15,0,0,404,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
17,great_sea,Nagy-tenger,body of water,certain,36,14,0,0,346,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
18,judea_1,Júdea,region,certain,54,10,0,0,370,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
19,nile,Nílus,river,certain,45,9,0,0,322,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
20,gaza,Gáza,settlement,certain,22,12,0,0,266,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
21,shiloh,Siló,settlement,certain,37,8,0,0,278,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
22,macedonia,Macedónia,region,certain,24,7,1,0,236,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
23,lachish,Lákis,settlement,certain,22,7,1,0,228,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
24,salt_sea,Sós-tenger,body of water,certain,21,11,0,0,250,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
25,ai_1,Aj,settlement,probable,34,4,1,0,240,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
26,mount_zion,Sion hegye,hill,certain,25,10,0,0,254,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
27,mizpah_3,Micpa (Benjámin),settlement,certain,33,8,0,0,262,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
28,gomorrah,Gomora,settlement,probable,24,11,0,0,252,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
29,ashdod,Asdód,settlement,certain,21,10,0,0,238,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
30,red_sea_1,Vörös-tenger,"body of water, river",possible,21,9,1,0,226,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
31,cyprus,Ciprus,island,certain,12,4,2,0,174,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
32,east,Kelet vidéke,region,certain,18,10,0,0,226,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
33,galatia,Galácia,region,certain,6,5,2,0,162,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
34,ramah_1,Ráma,settlement,certain,16,10,0,0,218,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
35,jezreel_2,Jezréel,settlement,certain,29,7,0,0,234,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
36,mount_of_olives,Olajfák hegye,hill,certain,18,9,0,0,214,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
37,lystra,Lisztra,settlement,certain,6,2,2,0,136,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
38,ekron,Ekrón,settlement,certain,20,8,0,0,210,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
39,troas,Tróász,settlement,certain,6,3,2,0,138,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
40,asia,Ázsia provincia,region,certain,21,7,0,0,202,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
41,thessalonica,Thesszalonika,"ókori város, tartományi központ",probable,10,6,1,0,162,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,
42,haran,Hárán,settlement,certain,12,5,1,0,164,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
43,cush_1,Kús,region,certain,19,7,0,0,194,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
44,achaia,Akhája,region,certain,10,5,1,0,156,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
45,persia,Perzsia,region,certain,27,5,0,0,202,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
46,ashkelon,Askelón,settlement,certain,12,8,0,0,178,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
47,derbe,Derbé,settlement,certain,5,1,2,0,110,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
48,syria_2,Szíria,region,certain,8,4,1,0,136,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
49,elam,Élám,region,certain,16,6,0,0,170,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
50,moab_2,Moáb síksága,region,certain,12,3,1,0,140,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
